return_id,order_item_id,return_date,quantity,reason,refund_amount,status
60,1595,2024-12-06,1,Changed mind,79725.62,approved
61,1603,2025-01-15,1,Changed mind,303170.54,approved
62,1612,2024-06-03,1,Defective,28408.18,approved
63,1667,2025-01-06,2,Damaged,2373421.65,approved
64,1669,2024-10-30,1,Other,0.0,rejected
65,1685,2024-06-24,1,Wrong product,296554.8,approved
66,1706,2024-09-01,1,Defective,29141.68,approved
67,1772,2024-12-15,1,Damaged,377869.07,approved
68,1780,2024-12-18,1,Wrong product,123482.86,approved
69,1845,2024-12-18,2,Other,58803.9,approved
70,1871,2024-11-10,1,Damaged,1178161.38,approved
71,1885,2025-01-11,3,Damaged,272583.16,approved
72,1920,2024-10-24,1,Defective,121851.41,approved
73,1933,2024-12-10,1,Wrong product,79045.31,approved
74,1936,2024-12-26,1,Defective,1316133.08,approved
75,1986,2024-09-24,2,Damaged,371759.12,approved
76,2040,2024-10-16,1,Changed mind,378649.07,approved
77,2050,2025-01-13,1,Defective,181390.7,approved
78,2064,2024-05-18,1,Other,1159162.61,approved
79,2076,2024-04-25,1,Damaged,104218.94,approved
80,2091,2024-12-07,3,Wrong product,891758.38,approved
81,2180,2024-11-25,4,Damaged,4675597.91,approved
82,2218,2025-01-12,1,Changed mind,102066.1,approved
83,2244,2024-10-18,1,Damaged,0.0,rejected
84,2261,2025-01-07,1,Defective,296160.29,approved
85,2288,2025-01-09,1,Damaged,78810.44,approved
86,2356,2024-10-11,1,Changed mind,1170205.64,approved
87,2387,2024-05-30,1,Defective,29325.05,approved
88,2465,2024-10-26,1,Defective,79660.83,approved
89,2475,2024-12-02,2,Changed mind,58537.71,approved
90,2530,2024-08-20,1,Defective,179814.84,approved
91,2564,2025-09-12,1,Changed mind,0.0,rejected
92,2567,2025-12-17,1,Defective,111263.76,approved
93,2583,2025-04-11,1,Changed mind,346926.53,approved
94,2652,2026-01-09,1,Changed mind,445676.49,approved
95,2666,2025-12-29,2,Changed mind,826390.18,approved
96,2676,2025-05-20,1,Other,316247.84,approved
97,2681,2025-03-03,1,Other,135907.15,approved
98,2720,2025-09-14,2,Defective,256231.32,approved
99,2734,2026-01-19,1,Defective,31386.77,approved
100,2744,2025-07-13,2,Wrong product,191642.23,approved
101,2746,2025-12-27,2,Damaged,668092.58,approved
102,2751,2026-01-29,1,Defective,205775.97,approved
103,2760,2026-01-09,1,Other,117875.76,approved
104,2764,2025-11-21,1,Wrong product,120922.68,approved
105,2841,2026-01-12,2,Defective,2489941.12,approved
106,2854,2025-08-10,2,Changed mind,1197871.48,approved
107,2857,2026-01-18,1,Wrong product,201584.12,approved
108,2868,2025-11-25,1,Changed mind,106709.02,approved
109,2946,2025-12-21,1,Changed mind,105505.45,approved
110,2966,2025-02-15,1,Defective,108575.4,approved
111,2986,2025-11-19,1,Damaged,121412.15,approved
112,3042,2025-12-26,2,Damaged,1951673.21,approved
113,3082,2025-12-23,1,Defective,130464.94,approved
114,3097,2025-03-08,1,Changed mind,396136.58,approved
115,3142,2025-11-13,1,Wrong product,197663.39,approved
116,3223,2025-05-05,2,Other,200409.64,approved
117,3260,2025-08-08,1,Damaged,334921.31,approved
118,3277,2026-02-03,2,Wrong product,2422485.98,approved
119,3298,2025-12-05,1,Changed mind,393721.43,approved
120,3399,2025-02-04,1,Defective,391731.53,approved
121,3402,2026-01-15,1,Changed mind,426227.22,approved
122,3419,2025-03-29,3,Other,379581.68,approved
123,3426,2025-08-21,1,Other,1225862.54,approved
124,3431,2025-08-20,1,Wrong product,98994.47,approved
125,3435,2025-03-11,2,Defective,760459.82,approved
126,3445,2025-09-14,1,Damaged,326754.53,approved
127,3459,2025-08-24,1,Defective,311692.09,approved
128,3471,2025-08-03,1,Wrong product,105792.54,approved
129,3511,2026-01-09,2,Other,1231954.22,approved
130,3526,2025-03-08,1,Damaged,85447.66,approved
131,3553,2025-08-06,1,Damaged,1264719.78,approved
132,3565,2025-05-30,2,Changed mind,171300.68,approved
133,3575,2025-11-03,1,Changed mind,417870.39,approved
134,3586,2025-06-20,1,Wrong product,400727.63,approved
135,3601,2026-01-21,1,Defective,338036.36,approved
136,3603,2026-01-04,1,Other,125613.82,approved
137,3661,2026-01-17,1,Changed mind,208382.84,approved
138,3665,2026-01-04,1,Changed mind,118096.02,approved
139,3693,2025-01-21,1,Other,381463.65,approved
140,3710,2025-10-13,1,Wrong product,115685.39,approved
141,3713,2025-05-19,1,Defective,105074.82,approved
142,3718,2025-04-15,1,Defective,316149.51,approved
143,3732,2025-09-03,2,Changed mind,61853.59,approved
144,3733,2025-09-25,1,Defective,408795.93,approved
145,3738,2025-06-25,1,Damaged,31885.07,approved
146,3754,2025-07-28,1,Damaged,30888.47,approved
147,3791,2025-11-11,1,Wrong product,98272.33,approved
148,3802,2025-01-18,1,Damaged,1447161.44,approved
149,3851,2025-11-07,1,Changed mind,413237.21,approved
150,3866,2026-01-26,1,Changed mind,30565.85,approved
151,3868,2025-03-24,1,Wrong product,628901.96,approved
152,3904,2025-10-19,1,Changed mind,119368.63,approved
153,3956,2026-01-14,1,Defective,31144.01,approved
154,4023,2025-08-08,1,Other,320606.94,approved
155,4025,2025-10-13,2,Damaged,0.0,rejected
156,4091,2025-09-15,1,Changed mind,186525.93,approved
157,4102,2025-10-16,1,Wrong product,112577.67,approved
158,4129,2025-11-16,1,Defective,186867.0,approved
159,4185,2025-09-16,1,Changed mind,0.0,rejected
160,4186,2025-09-18,1,Defective,990422.07,approved
161,4194,2025-02-15,1,Wrong product,127915.44,approved
162,4218,2025-11-11,1,Other,408267.08,approved
163,4219,2026-02-01,1,Changed mind,587554.1,approved
164,4225,2025-08-07,2,Defective,195547.9,approved
165,4272,2025-11-29,1,Changed mind,118781.27,approved
166,4273,2025-06-04,1,Damaged,388070.11,approved
167,4296,2025-12-04,2,Wrong product,1206205.58,approved
168,4321,2025-05-23,1,Changed mind,1209575.85,approved
169,4323,2025-08-08,1,Changed mind,608327.15,approved
170,4353,2025-10-06,1,Wrong product,1228940.35,approved
171,4359,2025-01-27,1,Defective,98404.55,approved
172,4366,2025-11-23,1,Other,0.0,rejected
173,4369,2025-08-08,1,Wrong product,347556.54,approved
174,4388,2025-10-22,1,Changed mind,328919.13,approved
175,4396,2026-01-27,1,Wrong product,199561.19,approved
176,4484,2025-08-23,3,Damaged,326035.07,approved
177,4485,2025-08-03,1,Other,424161.29,approved
178,4513,2026-01-21,1,Other,322358.73,approved
179,4541,2025-11-06,1,Wrong product,179799.33,approved
180,4557,2025-07-11,1,Changed mind,609734.81,approved
181,4699,2025-12-30,2,Wrong product,1218437.04,approved
182,4777,2025-09-07,1,Damaged,126206.87,approved
183,4784,2025-08-15,3,Defective,92272.5,approved
184,4794,2025-02-19,1,Changed mind,126674.06,approved
185,4815,2025-10-17,1,Damaged,206818.72,approved
186,4820,2026-01-12,3,Wrong product,257330.76,approved
187,4852,2026-01-19,3,Defective,958084.44,approved
188,4882,2025-04-28,2,Defective,621614.31,approved
189,4885,2025-08-08,1,Defective,1319886.08,approved
190,4888,2026-01-20,1,Changed mind,97967.2,approved
191,4901,2025-06-30,1,Defective,139229.95,approved
192,4926,2025-05-31,1,Wrong product,31057.76,approved
193,4939,2025-04-22,1,Other,98933.44,approved
194,4952,2025-10-17,2,Wrong product,233778.21,approved
195,5006,2025-11-24,1,Damaged,185919.59,approved
196,5009,2025-10-14,1,Changed mind,1252665.06,approved
197,5060,2025-08-16,1,Defective,113596.95,approved
198,5109,2025-11-07,1,Other,86012.0,approved
199,5120,2025-09-07,1,Defective,30454.05,approved
200,5143,2025-09-18,1,Defective,0.0,rejected
201,5171,2025-03-22,3,Defective,3761072.99,approved
202,5197,2025-04-01,1,Changed mind,203148.24,approved
203,5212,2025-10-01,1,Changed mind,410775.78,approved
204,5231,2025-08-14,1,Defective,1309331.43,approved
205,5240,2025-12-12,3,Wrong product,317443.87,approved
206,5294,2025-09-13,1,Wrong product,107470.91,approved
207,5301,2025-07-20,1,Changed mind,88417.04,approved
208,5325,2025-02-18,1,Changed mind,323720.58,approved
209,5326,2025-03-07,1,Defective,128716.33,approved
210,5334,2025-10-27,3,Defective,389947.97,approved
211,5338,2025-12-03,1,Changed mind,31287.75,approved
212,5340,2025-12-17,1,Other,50054.05,approved
213,5400,2025-08-29,2,Defective,286132.97,approved
214,5524,2025-07-17,1,Changed mind,111778.55,approved
215,5525,2025-10-19,1,Wrong product,117900.23,approved
216,5538,2025-07-02,1,Wrong product,607145.45,approved
217,5560,2025-10-02,1,Damaged,0.0,rejected
218,5582,2025-11-11,1,Wrong product,318837.08,approved
219,5595,2025-03-08,1,Wrong product,187132.28,approved
220,5608,2025-02-28,1,Damaged,143037.53,approved
221,5625,2025-09-20,1,Defective,127114.55,approved
222,5727,2026-10-30,1,Wrong product,340095.61,approved
223,5730,2026-09-29,2,Damaged,684490.29,approved
224,5735,2026-12-13,2,Changed mind,238281.06,approved
225,5763,2026-05-05,1,Defective,0.0,rejected
226,5770,2026-11-30,1,Changed mind,107519.74,approved
227,5777,2026-12-17,1,Wrong product,153921.85,approved
228,5798,2026-07-11,1,Defective,286602.23,approved
229,5827,2026-03-04,1,Other,120041.99,approved
230,5829,2026-08-23,1,Wrong product,209147.34,approved
231,5833,2026-03-21,1,Defective,116404.41,approved
232,5843,2026-07-21,1,Defective,135305.77,approved
233,5846,2026-03-06,1,Changed mind,117736.59,approved
234,5852,2026-12-22,1,Wrong product,132892.63,approved
235,5854,2026-09-04,1,Damaged,126469.83,approved
236,5858,2026-10-27,1,Defective,0.0,rejected
237,5882,2026-09-26,1,Wrong product,145174.85,approved
238,5885,2026-02-20,2,Other,2942944.5,approved
239,5918,2026-12-26,1,Defective,113348.6,approved
240,5935,2026-11-15,1,Defective,183405.12,approved
241,5998,2026-10-16,1,Defective,134992.82,approved
242,6021,2026-11-22,2,Defective,209364.05,approved
243,6031,2026-09-02,1,Defective,128066.38,approved
244,6032,2026-08-02,1,Other,100089.9,approved
245,6042,2026-11-14,1,Defective,112300.06,approved
246,6043,2026-10-30,1,Defective,0.0,rejected
247,6062,2026-06-04,1,Damaged,111886.57,approved
248,6063,2026-11-06,1,Wrong product,1150807.25,approved
249,6066,2026-05-01,2,Defective,413470.2,approved
250,6072,2026-02-20,1,Damaged,0.0,rejected
251,6077,2026-10-09,1,Defective,386048.61,approved
252,6107,2026-10-02,1,Other,116848.09,approved
253,6115,2026-10-22,1,Damaged,649610.1,approved
254,6129,2026-12-07,1,Changed mind,127463.27,approved
255,6155,2026-12-11,1,Damaged,149505.78,approved
256,6168,2026-12-03,1,Defective,77548.74,approved
257,6182,2026-08-28,1,Wrong product,128621.81,approved
258,6194,2026-02-09,1,Wrong product,125420.23,approved
259,6225,2026-12-22,2,Defective,306264.27,approved
260,6238,2026-09-12,1,Defective,1450181.78,approved
261,6245,2026-11-23,1,Other,0.0,rejected
262,6249,2026-02-18,1,Wrong product,418609.0,approved
263,6276,2026-09-23,1,Defective,186532.19,approved
264,6283,2026-09-29,1,Other,410369.58,approved
265,6288,2026-12-17,1,Changed mind,127984.97,approved
266,6316,2026-10-07,2,Defective,0.0,rejected
267,6339,2026-11-02,1,Wrong product,0.0,rejected
268,6342,2026-06-03,1,Wrong product,0.0,rejected
269,6345,2026-12-31,1,Damaged,91362.91,approved
270,6369,2026-04-24,3,Changed mind,164881.33,approved
271,6379,2026-03-26,1,Other,119100.0,approved
272,6383,2026-11-11,2,Damaged,220420.55,approved
273,6430,2026-07-13,2,Other,2628106.63,approved
274,6438,2026-11-03,1,Wrong product,156947.67,approved
275,6445,2026-06-29,1,Wrong product,79625.21,approved
276,6450,2026-11-10,1,Damaged,31902.32,approved
277,6476,2026-11-09,2,Defective,222397.48,approved
278,6504,2026-10-20,1,Defective,214246.51,approved
279,6523,2026-11-16,1,Damaged,314232.08,approved
280,6542,2026-12-04,1,Damaged,355998.21,approved
281,6547,2026-11-07,2,Damaged,2430894.24,approved
282,6570,2026-09-08,1,Wrong product,169400.79,approved
283,6583,2026-05-10,2,Changed mind,224883.87,approved
284,6640,2026-11-08,1,Wrong product,1315526.28,approved
285,6651,2026-12-31,1,Damaged,118541.58,approved
286,6661,2026-06-10,4,Defective,1430340.77,approved
287,6675,2026-12-27,1,Damaged,187432.38,approved
288,6680,2026-09-12,2,Damaged,213583.2,approved
289,6697,2026-10-29,1,Damaged,93517.6,approved
290,6700,2026-02-28,2,Defective,220535.08,approved
291,6759,2026-11-10,1,Wrong product,364234.58,approved
292,6760,2026-12-31,2,Defective,310634.0,approved
293,6766,2026-12-14,1,Damaged,107724.73,approved
294,6768,2026-11-04,1,Changed mind,455782.06,approved
295,6773,2026-11-25,1,Other,0.0,rejected
296,6798,2026-12-31,1,Wrong product,127381.57,approved
297,6801,2026-12-31,1,Defective,136115.12,approved
298,6802,2026-07-15,1,Defective,78914.16,approved
299,6810,2026-08-07,1,Damaged,29652.75,approved
300,6897,2026-07-16,1,Wrong product,117402.6,approved
301,6899,2026-12-20,1,Defective,108143.4,approved
302,6900,2026-12-28,2,Wrong product,946592.26,approved
303,6902,2026-12-18,1,Damaged,33176.11,approved
304,6924,2026-06-06,1,Defective,0.0,rejected
305,6928,2026-12-21,1,Wrong product,125741.56,approved
306,6942,2026-08-17,1,Wrong product,0.0,rejected
307,6943,2026-12-31,1,Wrong product,112060.42,approved
308,6944,2026-01-25,1,Other,201327.93,approved
309,6954,2026-07-16,2,Damaged,281384.44,approved
310,6994,2026-09-15,1,Wrong product,1355789.32,approved
311,7002,2026-10-15,1,Defective,0.0,rejected
312,7012,2026-03-23,1,Defective,339348.77,approved
313,7015,2026-12-24,1,Wrong product,0.0,rejected
314,7021,2026-04-27,1,Defective,102078.88,approved
315,7038,2026-12-21,1,Other,31066.98,approved
316,7041,2026-01-24,3,Changed mind,322502.72,approved
317,7050,2026-04-11,1,Defective,115737.27,approved
318,7058,2026-08-11,1,Damaged,100166.02,approved
319,7060,2026-10-07,1,Changed mind,30891.71,approved
320,7069,2026-10-23,1,Defective,287303.19,approved
321,7071,2026-10-25,1,Wrong product,386881.29,approved
322,7086,2026-12-19,1,Changed mind,212239.27,approved
323,7090,2026-10-06,1,Defective,111052.68,approved
324,7095,2026-08-25,2,Damaged,63766.84,approved
325,7099,2026-01-22,3,Defective,359707.97,approved
326,7101,2026-12-31,1,Defective,200016.46,approved
327,7130,2026-04-26,1,Changed mind,32048.25,approved
328,7143,2026-05-11,2,Defective,2647572.72,approved
329,7149,2026-12-31,1,Defective,63754.24,approved
330,7179,2026-06-07,1,Defective,661849.97,approved
331,7180,2026-07-01,1,Wrong product,398967.66,approved
332,7184,2026-01-23,1,Defective,29720.91,approved
333,7193,2026-11-17,1,Other,0.0,rejected
334,7196,2026-12-31,2,Damaged,202199.81,approved
335,7221,2026-12-07,1,Changed mind,109295.35,approved
336,7222,2026-12-22,1,Wrong product,33361.68,approved
337,7239,2026-10-27,1,Defective,31957.77,approved
338,7247,2026-11-01,1,Damaged,29616.16,approved
339,7249,2026-11-09,1,Defective,146119.88,approved
340,7253,2026-12-13,1,Damaged,0.0,rejected
341,7258,2026-04-15,1,Wrong product,1387291.47,approved
342,7265,2026-06-28,1,Defective,76394.83,approved
343,7278,2026-03-24,1,Other,0.0,rejected
344,7302,2026-11-29,1,Damaged,364252.7,approved
345,7311,2026-05-29,1,Defective,1328631.74,approved
346,7324,2026-04-07,1,Other,58410.46,approved
347,7331,2026-09-10,1,Defective,873368.01,approved
348,7332,2027-01-01,2,Wrong product,0.0,rejected
349,7348,2026-07-31,1,Defective,275185.03,approved
350,7361,2026-12-09,1,Defective,313913.85,approved
351,7401,2026-03-28,2,Wrong product,622864.68,approved
352,7403,2026-11-01,1,Defective,214298.28,approved
353,7411,2026-11-20,1,Defective,223161.16,approved
354,7412,2026-11-20,1,Wrong product,198726.5,approved
355,7453,2026-03-15,1,Damaged,32410.05,approved
356,7464,2026-10-25,1,Defective,1175431.63,approved
357,7485,2026-12-31,2,Damaged,588286.46,approved
358,7492,2026-10-06,1,Damaged,85820.96,approved
359,7540,2026-12-05,2,Defective,350674.24,approved
360,7541,2026-12-07,1,Defective,0.0,rejected
361,7549,2026-04-11,1,Wrong product,199674.94,approved
362,7560,2026-08-11,1,Defective,154276.93,approved
363,7591,2026-09-07,1,Damaged,219343.29,approved
364,7642,2026-09-30,1,Wrong product,1341090.35,approved
365,7652,2026-12-23,1,Changed mind,98133.81,approved
366,7664,2026-05-27,2,Changed mind,166389.88,approved
367,7688,2026-11-11,2,Damaged,410036.28,approved
368,7714,2026-03-20,1,Changed mind,630745.32,approved
369,7715,2026-11-04,1,Damaged,116988.92,approved
370,7722,2026-10-10,2,Damaged,0.0,rejected
371,7730,2026-11-22,1,Defective,121468.01,approved
372,7736,2026-07-28,1,Defective,496691.13,approved
373,7738,2026-08-17,1,Damaged,0.0,rejected
374,7763,2026-07-23,1,Damaged,77572.16,approved
375,7772,2026-11-27,1,Wrong product,358813.22,approved
376,7774,2026-11-22,1,Defective,193838.48,approved
377,7786,2026-03-29,1,Wrong product,31641.56,approved
378,7808,2026-10-17,1,Defective,301915.54,approved
379,7809,2026-08-15,1,Wrong product,76306.77,approved
380,7813,2026-11-18,1,Wrong product,83052.92,approved
381,7833,2026-02-17,1,Changed mind,819989.18,approved
382,7836,2026-12-02,2,Defective,211459.19,approved
383,7887,2026-12-10,1,Changed mind,0.0,rejected
384,7909,2026-10-03,2,Defective,0.0,rejected
385,7910,2026-09-16,1,Changed mind,0.0,rejected
386,7931,2026-02-17,1,Defective,328046.47,approved
387,7950,2026-05-17,1,Changed mind,104248.7,approved
388,7968,2026-12-31,2,Damaged,572153.25,approved
389,7975,2027-01-01,1,Defective,142462.34,approved
390,7989,2026-12-31,3,Defective,933752.56,approved
391,8016,2026-11-15,1,Defective,122584.67,approved
392,8027,2026-12-04,1,Defective,134495.64,approved
393,8037,2026-03-23,1,Other,400482.98,approved
394,8050,2026-07-10,2,Defective,210902.15,approved
395,8059,2026-06-15,1,Wrong product,75248.32,approved
396,8072,2026-10-04,2,Wrong product,224592.71,approved
397,8083,2026-12-31,1,Changed mind,120603.52,approved
398,8112,2026-12-04,2,Damaged,62244.87,approved
399,8127,2026-06-29,1,Defective,111520.91,approved
400,8135,2026-06-24,1,Damaged,121169.66,approved
401,8140,2026-09-22,1,Wrong product,318775.12,approved
402,8156,2026-11-09,2,Defective,0.0,rejected
403,8187,2026-11-05,1,Defective,137777.25,approved
404,8192,2026-03-28,1,Defective,349384.38,approved
405,8203,2026-11-02,2,Defective,0.0,rejected
406,8206,2026-10-31,1,Damaged,103071.94,approved
407,8226,2026-11-30,1,Wrong product,155544.17,approved
408,8243,2026-03-11,1,Damaged,222345.43,approved
409,8247,2026-04-06,2,Wrong product,2742870.19,approved
410,8260,2026-08-31,1,Changed mind,0.0,rejected
411,8261,2026-04-06,1,Defective,30643.35,approved
412,8308,2026-07-06,1,Defective,192887.08,approved
413,8317,2026-08-24,1,Wrong product,201832.06,approved
414,8338,2026-11-30,1,Defective,86455.25,approved
415,8369,2026-12-08,1,Damaged,160843.53,approved
416,8374,2026-09-26,1,Damaged,503552.77,approved
417,8375,2026-06-29,2,Defective,653896.86,approved
418,8376,2026-06-20,1,Damaged,0.0,rejected
419,8379,2026-08-08,1,Changed mind,1336813.23,approved
420,8396,2026-08-07,1,Defective,148718.02,approved
421,8397,2026-08-12,1,Changed mind,215580.63,approved
422,8404,2026-09-28,1,Wrong product,0.0,rejected
423,8416,2026-09-24,1,Damaged,184264.99,approved
424,8417,2026-10-05,1,Defective,0.0,rejected
425,8431,2026-12-03,1,Damaged,115582.28,approved
426,8451,2026-12-31,2,Defective,291282.36,approved
427,8458,2026-11-08,1,Defective,226178.08,approved
428,8485,2026-10-29,1,Damaged,196752.62,approved
429,8490,2026-09-12,1,Defective,178499.29,approved
430,8501,2026-06-20,2,Changed mind,239030.42,approved
431,8507,2026-06-25,1,Damaged,120140.9,approved
432,8512,2026-08-18,1,Damaged,611710.65,approved
433,8523,2026-04-02,1,Changed mind,30921.92,approved
434,8526,2026-08-20,2,Wrong product,706477.42,approved
435,8543,2026-12-13,1,Defective,0.0,rejected
436,8560,2026-08-08,1,Damaged,117710.21,approved
437,8580,2026-04-11,1,Other,117446.26,approved
438,8601,2026-06-04,1,Defective,438509.45,approved
439,8614,2026-12-31,1,Defective,120055.82,approved
440,8617,2026-09-13,2,Defective,309966.04,approved
441,8650,2026-12-31,1,Defective,0.0,rejected
442,8678,2026-09-26,1,Damaged,105240.83,approved
443,8683,2026-03-18,1,Wrong product,115183.3,approved
444,8700,2027-01-01,3,Defective,411000.42,approved
445,8728,2026-12-31,1,Changed mind,0.0,rejected
446,8733,2026-08-28,3,Defective,3997157.05,approved
